round,client_0_acc,client_0_loss,client_1_acc,client_1_loss,client_2_acc,client_2_loss,client_3_acc,client_3_loss,client_4_acc,client_4_loss,mean_acc,mean_loss,test_acc,test_loss
35,0.4039,1.9811399616772616,0.7836,0.6164453670382499,0.81072,0.5505608806804735,0.79848,0.5836697272500213,0.7987,0.5909031078785281,0.7190799999999999,0.8645438089049069,0.7764,0.6989255140099344
36,0.414,1.9602260529240476,0.812,0.5415419526398182,0.8108,0.5451223117356397,0.80136,0.5620668925801102,0.7985,0.5820744860021374,0.727332,0.8382063391763508,0.789,0.6527638405184203
37,0.4192,1.9562767532807361,0.8144,0.5509947709739208,0.81904,0.5226819752430429,0.80624,0.552344203603511,0.808,0.5566560392138324,0.733376,0.8277907484630088,0.7844,0.6530138857756989
38,0.4196,1.9473229616503172,0.787,0.6139510229229928,0.81368,0.5298666811111022,0.81016,0.5500266241783999,0.8147,0.5416326315342626,0.7290279999999999,0.836559984279415,0.786,0.6608076171029972
39,0.4239,1.9310792760003972,0.8288,0.5234267927706242,0.81864,0.5286463751476638,0.81288,0.5379167710031781,0.8197,0.5376115833656697,0.740784,0.8117361596575066,0.8018,0.6218654268150088
40,0.4334,1.9220079681541347,0.7976,0.5974214226007462,0.8284,0.5047883677239321,0.82024,0.512825258532349,0.8218,0.5187335402905187,0.7402880000000001,0.811155311460336,0.7883,0.6406480783148657
41,0.4161,1.9365479568891888,0.8294,0.5153458848595619,0.83208,0.49809825572432304,0.82312,0.5128577290749063,0.8254,0.5037302759629262,0.74522,0.7933160205021814,0.7978,0.6126775952834117
42,0.4149,1.9435265154778203,0.8224,0.5171042054891586,0.83368,0.48340175437683963,0.82416,0.5127137181710224,0.8212,0.5117013959945003,0.743268,0.7936895179018683,0.7977,0.6296686903585361
43,0.4271,1.9228711475299884,0.8342,0.4723914213478565,0.83128,0.4834471670340519,0.82752,0.4979309880611848,0.8265,0.5137116448788703,0.74932,0.7780704737703903,0.8076,0.5952544665034813
44,0.4242,1.9219102965125554,0.8394,0.4988974161446095,0.83328,0.4703247945527641,0.82792,0.4986119556183718,0.8267,0.5064527124543733,0.7503,0.7792394350565348,0.8006,0.6217648651026473
45,0.4172,1.930926908420611,0.8156,0.563220565021038,0.83864,0.47142183871901766,0.82728,0.4958209939757172,0.8344,0.48605062765411183,0.746624,0.7894881867580993,0.8062,0.5990904150884363
46,0.4251,1.9201216275178934,0.8258,0.5058024987578392,0.83696,0.46482802106409654,0.83456,0.47664910950222794,0.842,0.46682465302793286,0.752884,0.766845181973998,0.7906,0.6277912711795373
47,0.4316,1.9092100813419004,0.8402,0.4743669830262661,0.84304,0.46373691090515684,0.8404,0.4684907660192373,0.8368,0.46798407767392414,0.758408,0.7567577637932971,0.8038,0.6071696232391309
48,0.4395,1.8965087993235528,0.849,0.450078821927309,0.844,0.449320803795542,0.84216,0.4608752818740144,0.8367,0.48440501961526994,0.7622720000000001,0.7482377453071376,0.7938,0.6203337387193607
49,0.4307,1.908304054525834,0.8388,0.466902082413435,0.84104,0.45031753091179594,0.84136,0.45943335185245593,0.8308,0.4850644574889654,0.75654,0.7540042954384972,0.807,0.5874749603150766
